Brand,Name,Price,Image,Link
Samsung,"Samsung Galaxy A04S - 6.5"" - 4Go - 64Go - NOIR - Garantie 1 an",553.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/9937/1.jpg?7507,https://www.jumia.com.tn/smartphones//samsung-galaxy-a04s-6.5-4go-64go-noir-garantie-1-an-739909.html
Infinix,"Infinix Hot 20S - 6.78"" - 120Hz - 50Mp- 13Go Ram -128 Go et Pochette+ Anticasse- Blanc Garantie 1An",685.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/3307/1.jpg?5807,https://www.jumia.com.tn/smartphones//infinix-hot-20s-6.78-120hz-50mp-13go-ram-128-go-et-pochette-anticasse-blanc-garantie-1an-703389.html
Infinix,"Infinix SMART 6 HD - 6.6"" - 4G/DS - 2/32 GB - X6512 - Force Black",369.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/0617/1.jpg?9966,https://www.jumia.com.tn/smartphones//infinix-smart-6-hd-6.6-4gds-232-gb-x6512-force-black-716095.html
XIAOMI,XIAOMI Redmi A1+ - 2Go Ram - 32Go Rom -  Blue - Garantie 1 an,335.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/2347/1.jpg?3550,https://www.jumia.com.tn/smartphones//xiaomi-redmi-a1-2go-ram-32go-rom-blue-garantie-1-an-743266.html
Evertek,"Evertek M20 Nano - 4"" - 1G - 8G - Noir - Garantie 1 An",169.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/1727/1.jpg?4089,https://www.jumia.com.tn/smartphones//evertek-m20-nano-4-1g-8g-noir-garantie-1-an-727143.html
XIAOMI,"XIAOMI Redmi A1+ - 6.52"" - 2 Go - 32  Go - Vert- Garantie 1 an",335.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/3066/1.jpg?6862,https://www.jumia.com.tn/smartphones//redmi-a1-6.52-2-go-32-go-vert-garantie-1-an-xiaomi-mpg33894.html
Infinix,"Infinix Smart 7 - 6,6"" - 7GB (4+3) Ram - 64 GB - White - Garantie 1 an",409.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/0817/1.jpg?1548,https://www.jumia.com.tn/smartphones//infinix-smart-7-66-7gb-43-ram-64-gb-white-garantie-1-an-718067.html
Infinix,"Infinix HOT 20 - 6,82"" -50MP - 90Hz - 7gb Ram -128GB + Anticasse et Pochette - Blanc- Garantie 1An",581.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/0117/1.jpg?0786,https://www.jumia.com.tn/smartphones//infinix-hot-20-682-50mp-90hz-7gb-ram-128gb-anticasse-et-pochette-blanc-garantie-1an-711079.html
XIAOMI,XIAOMI SMARTPHONE REDMI NOTE 12 - 4GO - 128GO -GRIS -Garantie 1 an,754.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/6837/1.jpg?1468,https://www.jumia.com.tn/smartphones//xiaomi-smartphone-redmi-note-12-4go-128go-gris-garantie-1-an-738678.html
Apple,"Apple iPhone 14 Pro Max - 6,7"" - 512 GB - Space Black - Garantie 12 mois",9883.3,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/6296/1.jpg?3143,https://www.jumia.com.tn/smartphones//apple-iphone-14-pro-max-67-512-gb-space-black-garantie-12-mois-692666.html
Infinix,"Infinix Smart 6 HD - 6.6"" - 2 Go - 32 Go et Pochette + Anticasse - Black - Garantie 1 an",359.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/3556/1.jpg?4809,https://www.jumia.com.tn/smartphones//infinix-smart-6-hd-6.6-2-go-32-go-et-pochette-anticasse-black-garantie-1-an-655358.html
